week	type	title	by	date	tracks	len_raw	len_fmt
1	Movie	劇場総集編ぼっち・ざ・ろっく！ Re:				?	?
1	Movie	劇場総集編ぼっち・ざ・ろっく！ Re:Re:				?	?
2	Anime	ノワール				?	?
2	Album	All For You	Stevie Hoang		14	49min19s	49:19
2	Album	周杰倫的床邊故事	周杰倫		10	(37+⅚+⅒)min	(37+⅚+⅒)min
2	Album	最偉大的作品	周杰倫		12	(44+⅖-⅙·⅒)min	(44+⅖-⅙·⅒)min
2	Album	不良少年	徐良		10	35min45s	35:45
2	Album	F.I.R.	F.I.R.		13	49min47s	49:47
2	Album	花花宇宙	陈慧琳		11	42min16s	42:16
2	Single	Red Liberation	fripSide		4	18min4s	18:04
2	Single	マイクロレボリューション	TrySail		4	15min2s	15:02
2	Single	君じゃなきゃダメみたい	オーイシマサヨシ（大石昌良）		4	15min29s	15:29
2	Single	ウラオモテ・フォーチュン	佐倉千代（CV.小澤亜李）		4	15min56s	15:56
2	Single	動く、動く	チト（CV.水瀬いのり）、ユーリ（CV.久保ユリカ）		4	16min58s	16:58
2	Single	More One Night	チト（CV.水瀬いのり）、ユーリ（CV.久保ユリカ）		4	15min58s	15:58
2	Single	ブループリント	ナナヲアカリ		1	3min30s	3:30
2	Compilation	HARDCORE SYNDROME 14	HARDCORE TANO*C		15	59min	59:00
2	Compilation	HARDCORE SYNDROME 15	HARDCORE TANO*C		14	56min	56:00
2	Compilation	HARDCORE SYNDROME 16	HARDCORE TANO*C		14	52min11s	52:11
2	Compilation	HARDCORE SYNDROME 17	HARDCORE TANO*C		14	48min35s	48:35
2	Compilation	HARDCORE SYNDROME 18	HARDCORE TANO*C		14	44min8s	44:08
3	Anime	くまクマ熊ベアーぱーんち！				?	?
3	Single	ブループリント (Special Edition)	ナナヲアカリ		5	约17min	约17:00
3	Single	Daydream café	Petit Rabbit's		12	16min21s	16:21
3	Single	ぽっぴんジャンプ♪	チマメ隊		5	约20min	约20:00
3	Single	ノーポイッ!	Petit Rabbit's		9	约38min	约38:00
3	Single	ときめきポポロン♪	チマメ隊		7	约30min	约30:00
3	Single	天空カフェテリア	Petit Rabbit's		9	35min	35:00
3	Single	なかよし！○！なかよし！	チマメ隊		7	25min	25:00
3	Single	セカイがカフェになっちゃった!	Petit Rabbit's with beans		6	约25min	约25:00
3	Single	しんがーそんぐぱやぽやメロディー	Petit Rabbit's with beans		11	约46min	约46:00
3	Single	ふ･れ･ん･ど･し･た･い	学園生活部		4	16min32s	16:32
3	Single	ハーモナイズ・クローバー/アフターグロウ	黑崎真音		6	约30min	约30:00
3	Single	TVアニメ「がっこうぐらし!」キャラクターソング①	由紀&美紀		4	约15min	约15:00
3	Single	TVアニメ「がっこうぐらし!」キャラクターソング②	胡桃&悠里		4	16min10s	16:10
3	Single	TVアニメ「がっこうぐらし!」キャラクターソング③	悠里&由紀		4	14min32s	14:32
3	Single	TVアニメ「がっこうぐらし!」キャラクターソング④	美紀&胡桃		4	16min28s	16:28
3	Compilation	HARDCORE SYNDROME 19	HARDCORE TANO*C		14	45min29s	45:29
3	Compilation	IRREGULAR NATION 2	HARDCORE TANO*C		12	52min39s	52:39
3	Compilation	IRREGULAR NATION 3	HARDCORE TANO*C		12	57min17s	57:17
3	Compilation	IRREGULAR NATION 4	HARDCORE TANO*C		12	约1h	约1:00:00
3	OST	魔法少女ノ魔女裁判 コンプリートオリジナルサウンドトラック			60	14223s	3:57:03
3	OST	NOIR ORIGINAL SOUNDTRACK I			18	55min43s	55:43
3	OST	NOIR ORIGINAL SOUNDTRACK II			19	约1h	约1:00:00
3	OST	「NOIR」blanc dans NOIR～黒の中の白～			17	54min10s	54:10
3	OST	ぼっち・ざ・ろっく! オリジナルサウンドトラックvol.1			30	30min32s	30:32
3	OST	ぼっち・ざ・ろっく! オリジナルサウンドトラックvol.2			23	40min31s	40:31
4	Anime	ご注文はうさぎですか？ BLOOM				?	?
4	Movie	超かぐや姫！				?	?
4	Album	初音ミクの消失	cosMo@暴走P		14	3679s	1:01:19
4	Album	少女と夢人形	Ripple Tale	2004-10-09	5	约35min	约35:00
4	Single	staple stable & あとがたり			3	3042s	50:42
4	Single	帰り道 & あとがたり			3	2920s	48:40
4	Single	ambivalent world & あとがたり			3	3142s	52:22
4	Single	恋愛サーキュレーション & あとがたり			3	3264s	54:24
4	Single	月光/街	Vivid BAD SQUAD		4	约15min	约15:00
4	Single	STAGE OF SEKAI/Peaky Peaky	Leo/need		4	约14min	约14:00
4	Single	オーダーメイド/てらてら	Leo/need		4	15min14s	15:14
4	Single	イフ/パラソルサイダー	MORE MORE JUMP!		4	14min14s	14:14
4	Single	88☆彡/星空のメロディー	ワンダーランズ×ショウタイム		4	约12min	约12:00
4	Single	虚ろを扇ぐ/仮死化	Vivid BAD SQUAD		4	约15min	约15:00
4	Single	Voices/the WALL	Leo/need		4	14min20s	14:20
4	Single	DREAM PLACE/フロート・プランナー	MORE MORE JUMP!		4	16min18s	16:18
4	Single	君の夜をくれ/Iなんです	25時、ナイトコードで。		4	12min38s	12:38
4	Single	どんな結末がお望みだい？/星空オーケストラ	ワンダーランズ×ショウタイム		4	约13min	约13:00
4	Cover	からかい上手の高木さん Cover Song Collection	高橋李依		7	29min43s	29:43
4	Cover	からかい上手の高木さん2 Cover Song Collection	高橋李依		9	38min14s	38:14
4	Compilation	IRREGULAR NATION 5	HARDCORE TANO*C		10	51min	51:00
4	Compilation	IRREGULAR NATION 6	HARDCORE TANO*C		10	41min	41:00
5	Anime	邪神ちゃんドロップキック’				?	?
5	Compilation	IRREGULAR NATION 7	HARDCORE TANO*C		10	41min	41:00
5	Compilation	IRREGULAR NATION 8	HARDCORE TANO*C		10	42min16s	42:16
5	Compilation	IRREGULAR NATION 9	HARDCORE TANO*C		10	37min	37:00
5	OST	Aladdin: Original Motion Picture Soundtrack			21	50min10s	50:10
6	Tokusatsu	ウルトラマンレオ				?	?
6	OST	Relay - ghostpia Season One Original Soundtrack			27	1h10min	1:10:00
6	OST	Cytus II-Paff Original Soundtrack			11	31min43s	31:43
6	OST	Cytus II-Neko Original Soundtrack			12	26min7s	26:07
6	OST	Cytus II-Robo_head Original Soundtrack			11	34min20s	34:20
6	OST	Cytus II-Ivy Original Soundtrack			11	30min2s	30:02
6	OST	Cytus II-Vanessa Original Soundtrack			17	57min53s	57:53
